id,Weekly_Sales
1,1617647.4
2,1753670.2
3,1492507.8
4,1485463.8
5,1848302.0
6,2232377.0
7,1828957.2
8,1818872.4
9,415079.6
10,452795.34
11,422665.66
12,420356.28
13,2117492.5
14,2428043.8
15,2152453.2
16,2120840.0
17,346586.0
18,324146.53
19,353632.6
20,352756.97
21,1613015.8
22,1997256.4
23,1525107.1
24,1528163.0
25,607238.25
26,780248.8
27,603860.1
28,598046.5
29,947304.94
30,1022443.6
31,892649.9
32,881917.0
33,568314.9
34,723281.1
35,554553.44
36,549550.75
37,1851759.5
38,1806242.1
39,1815702.5
40,1809524.1
41,1388190.2
42,1573731.8
43,1325142.1
44,1325048.9
45,1086559.4
46,1044130.8
47,1032438.44
48,1035287.1
49,1981014.1
50,2262179.2
51,2007490.6
52,2026807.4
53,1811203.8
54,2109410.8
55,1823968.9
56,1817538.5
57,597987.75
58,750427.2
59,565130.7
60,562659.0
61,549472.4
62,689332.5
63,531354.44
64,530079.6
65,976125.9
66,880674.06
67,953139.44
68,959490.6
69,1087567.6
70,1340584.5
71,1000846.6
72,996956.6
73,1371159.6
74,1777520.9
75,1339040.8
76,1339961.5
77,1999296.5
78,2428496.2
79,1987993.2
80,1986723.1
81,781375.06
82,1031976.0
83,749957.7
84,737753.25
85,1060587.5
86,1211106.9
87,977716.4
88,968784.9
89,1410142.0
90,1846050.6
91,1359187.2
92,1366472.8
93,1350342.6
94,1582126.8
95,1286828.2
96,1297942.4
97,708844.6
98,946528.06
99,664448.7
100,655644.44
101,1078750.4
102,1162142.6
103,971995.2
104,965861.4
105,1665291.9
106,1861688.5
107,1680206.6
108,1682176.8
109,1447913.9
110,1313609.5
111,1317846.9
112,1309050.9
113,564896.56
114,720807.94
115,532724.9
116,525281.5
117,448787.2
118,457473.6
119,442990.97
120,441716.88
121,1451736.9
122,1487050.2
123,1403852.5
124,1390598.1
125,1209157.6
126,1343776.2
127,1169304.0
128,1172282.4
129,279666.44
130,217699.31
131,294340.12
132,296951.78
133,1016552.1
134,1118129.5
135,965069.25
136,954698.56
137,862530.3
138,1064955.0
139,783699.56
140,781499.56
141,343958.22
142,340450.72
143,371248.62
144,371944.25
145,554859.56
146,542467.8
147,520546.03
148,519751.06
149,436453.56
150,410704.34
151,421716.78
152,421668.56
153,1529363.9
154,1798806.1
155,1476430.8
156,1457131.2
157,1003602.94
158,1026826.8
159,908008.94
160,901342.5
161,1348080.2
162,1641068.4
163,1319473.5
164,1300277.9
165,617671.5
166,646716.44
167,567387.6
168,565968.3
169,666247.7
170,598395.0
171,594871.06
172,592514.9
173,336142.7
174,297035.12
175,329625.03
176,328133.84
177,777311.0
178,967238.94
179,730188.94
180,724067.3
