2550,182,2820,182,2820,292,2550,292
2331,197,2543,197,2543,299,2331,299
211,387,665,387,665,496,211,496
789,387,1132,387,1132,496,789,496
1169,394,1636,394,1636,489,1169,489
299,716,460,716,460,781,299,781
475,723,577,723,577,774,475,774
825,723,920,723,920,781,825,781
1863,716,1965,716,1965,781,1863,781
1490,730,1541,730,1541,774,1490,774
263,913,365,913,365,986,263,986
1205,913,1315,913,1315,986,1205,986
387,928,496,928,496,979,387,979
504,920,613,920,613,979,504,979
796,920,942,920,942,986,796,986
1439,920,1600,920,1600,986,1439,986
1775,920,2060,920,2060,986,1775,986
2396,928,2535,928,2535,986,2396,986
2660,928,2776,928,2776,986,2660,986
2908,935,3010,935,3010,986,2908,986
233,1176,321,1176,321,1227,233,1227
507,1324,801,1349,790,1482,496,1457
1255,1313,1533,1354,1515,1476,1237,1435
1907,1351,1980,1351,1980,1454,1907,1454
2616,1351,2806,1351,2806,1446,2616,1446
1995,1359,2133,1359,2133,1476,1995,1476
2586,1600,2886,1600,2886,1731,2586,1731
1245,1602,1491,1623,1481,1744,1235,1722
1870,1607,2155,1607,2155,1746,1870,1746
548,1636,840,1636,840,1753,548,1753
2590,1879,2852,1902,2840,2038,2577,2014
1951,1900,2258,1900,2258,2031,1951,2031
613,1907,796,1907,796,2024,613,2024
1227,1907,1520,1907,1520,2046,1227,2046
440,2208,1007,2172,1015,2300,448,2337
1216,2181,1583,2168,1588,2298,1221,2311
1929,2199,2214,2199,2214,2323,1929,2323
2616,2214,2871,2214,2871,2323,2616,2323
1914,2491,2170,2491,2170,2608,1914,2608
2645,2491,2915,2491,2915,2608,2645,2608
1193,2477,1525,2500,1515,2629,1184,2605
526,2506,767,2506,767,2623,526,2623
2645,2762,2908,2762,2908,2879,2645,2879
496,2791,767,2791,767,2915,496,2915
1231,2774,1479,2802,1464,2935,1216,2908
1893,2789,2195,2799,2191,2925,1889,2915
1900,3075,2235,3051,2243,3169,1909,3193
1172,3082,1503,3065,1508,3177,1178,3194
2656,3077,2951,3064,2956,3186,2661,3199
518,3076,774,3076,774,3193,518,3193
2660,3332,3018,3332,3018,3485,2660,3485
1186,3376,1532,3355,1540,3475,1193,3497
1965,3368,2221,3368,2221,3478,1965,3478
504,3383,738,3383,738,3485,504,3485
2638,3653,3010,3653,3010,3792,2638,3792
504,3661,767,3661,767,3800,504,3800
1220,3668,1563,3668,1563,3814,1220,3814
1958,3690,2221,3690,2221,3843,1958,3843
453,3931,548,3931,548,4128,453,4128
584,3931,738,3931,738,4136,584,4136
1952,3948,2147,3935,2154,4041,1959,4054
2674,3946,2850,3946,2850,4092,2674,4092
1235,3953,1439,3953,1439,4128,1235,4128
2857,3968,3091,3968,3091,4121,2857,4121
233,4004,306,4004,306,4070,233,4070
233,4311,292,4311,292,4355,233,4355
