68,12,158,12,158,70,68,70
0,13,74,13,74,70,0,70
154,14,226,14,226,66,154,66
225,14,338,14,338,69,225,69
442,14,520,14,520,69,442,69
520,16,636,16,636,68,520,68
338,16,442,16,442,69,338,69
117,86,185,86,185,144,117,144
185,88,297,88,297,144,185,144
293,87,480,87,480,142,293,142
481,88,589,88,589,144,481,144
0,89,122,89,122,144,0,144
96,160,237,160,237,218,96,218
342,161,457,161,457,218,342,218
458,162,548,162,548,218,458,218
236,162,342,162,342,217,236,217
0,164,96,164,96,217,0,217
